from_td;to_td;h6;h7;h8;h9
28;6;72;200;90;272
28;7;216;118;136;357
28;10;171;252;96;72
28;11;8;14;18;6
28;14;288;395;810;408
28;16;180;264;600;912
28;17;8;12;21;4
28;18;115;306;174;176
28;20;6;20;40;36
28;22;10;20;40;16
28;23;129;855;432;656
28;24;8;10;15;12
28;25;350;550;875;285
28;27;6;18;15;18
28;29;6;20;25;36
28;32;6;10;6;18
28;38;12;32;45;16
29;3;7;12;15;4
29;4;15;22;104;70
29;5;258;1512;860;489
29;6;45;264;266;232
29;7;184;357;348;308
29;10;105;231;76;174
29;11;2;16;15;14
29;14;150;462;600;114
29;16;300;330;250;285
29;17;4;16;12;8
29;18;133;210;384;216
29;20;2;16;6;4
29;22;3;16;21;6
29;23;216;237;720;272
29;24;9;12;24;4
29;25;168;460;735;480
29;27;9;4;6;12
29;28;168;184;735;560
29;32;5;4;27;12
29;38;18;12;45;36
30;4;18;14;56;24
30;5;141;412;590;801
30;6;72;72;160;135
30;7;52;261;165;175
30;10;32;54;100;105
30;11;5;4;21;6
30;14;128;245;160;150
30;16;84;496;420;106
30;18;20;88;150;171
30;20;7;8;27;18
30;22;9;16;24;10
30;23;60;352;150;228
30;24;6;14;12;18
30;25;69;153;116;308
30;28;92;408;406;132
30;29;6;6;6;16
30;38;9;14;15;18
31;3;4;4;6;18
31;4;28;90;72;39
31;5;666;976;2224;1688
31;6;133;168;96;216
31;7;150;396;600;171
31;10;160;352;250;228
31;11;5;4;24;14
31;14;156;688;882;222
31;16;455;1287;1467;1116
31;17;3;16;6;18
31;18;96;159;300;322
31;20;12;32;25;12
31;22;8;36;25;8
31;23;184;909;690;696
31;24;4;14;18;6
31;25;270;238;270;515
31;27;4;10;6;16
31;28;110;726;966;315
31;29;14;24;25;12
31;32;7;16;18;8
31;38;10;32;15;24
32;4;10;20;45;20
32;5;145;320;657;220
32;6;45;66;91;70
32;7;16;108;140;60
32;10;25;77;104;20
32;14;60;66;50;114
32;16;51;296;258;96
32;18;30;78;120;77
32;20;5;12;27;16
32;23;84;130;90;46
32;25;126;124;140;243
32;28;84;217;140;162
32;38;3;6;24;14
34;4;6;4;27;10
34;5;26;261;264;125
34;6;8;12;25;36
34;7;27;49;56;48
34;10;10;12;20;32
34;14;32;72;30;24
34;16;42;120;72;117
34;18;9;21;72;24
34;23;30;33;39;20
34;25;36;52;75;22
34;28;30;26;30;33
35;4;8;4;18;14
35;5;18;160;138;136
35;6;16;32;20;32
35;7;4;8;10;36
35;10;14;24;30;36
35;14;21;21;72;36
35;16;18;65;135;22
35;18;6;28;20;32
35;23;20;72;60;56
35;25;32;81;80;40
35;28;8;27;80;64
36;4;6;10;18;14
36;5;120;308;100;342
36;6;12;35;56;12
36;7;25;88;91;40
36;10;21;21;24;24
36;14;24;52;75;55
36;16;99;120;112;63
36;18;12;63;20;56
36;23;56;54;100;120
36;25;63;160;161;85
36;28;63;60;161;119
37;5;7;16;24;18
38;3;8;8;24;4
38;4;10;99;78;50
38;5;648;1602;1421;308
38;6;70;186;315;162
38;7;44;384;110;336
38;10;45;198;266;174
38;11;9;6;15;14
38;14;116;256;146;440
38;16;441;648;984;744
38;17;2;16;6;12
38;18;162;360;315;238
38;20;2;14;12;6
38;22;8;8;24;12
38;23;170;225;680;520
38;24;6;8;15;16
38;25;312;258;294;444
38;27;9;12;12;18
38;28;280;264;300;228
38;29;7;8;21;6
38;32;5;6;12;16
